render,id,label,Level,L1,L2,L3,L4,L5,L6,,N1,N2,N3,N4,N5,N6,Angle,Radius,horiz,vert,hpos,ypos,hpos,ypos,Num,Num,parent,subparent,kind,classes,scale,oooOpacity,oookind,ooosymbol,ooox,oooy,ooow,oooh,labelParams,sssOpacity,ssskind,ssssymbol,sssstack,sssx,sssy,sssw,sssh,xxxOpacity,xxxkind,xxxsymbol,xxxstack,xxxx,xxxy,xxxw,xxxh,xxxLabel,xxxLabelParams,vvvOpacity,vvvkind,vvvsymbol,vvvstack,vvvx,vvvy,vvvw,vvvh,vvvLabel,vvvLabelParams,unoa,unob,linestyle,startKind,endKind,startOffsetX,startOffsetY,endOffsetX,endOffsetY,routing,,,,,,,
X,n1-1-2-3,E6,4,1,1,2,3,,,,8,4,3,3,,,-173.125,740,-769.444444444444,0,800.69,287.35,230.555555555556,1000,,,D2,,node,,1,1,symbol,OpenCircle,800.69,287.35,12,12,0 800.69 287.35 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,800.69,287.35,20.4,20.4,0.55,ellipse,4vvv,,800.69,287.35,12,12,,,1,ellipse,4vvv,,800.69,287.35,12,12,,,,,,,,,,,,,,,,,,,
X,n1-1-3,D3,3,1,1,3,,,,,8,4,3,,,,-170.625,640,-758.333333333333,0,854.67,376.72,241.666666666667,1000,,,C1,,node,,1,1,symbol,OpenCircle,854.67,376.72,35,35,1 854.67 376.72 0 0 0 0 VCThingLabel 10 ,0.1,0,3vvv,,854.67,376.72,59.5,59.5,0.55,ellipse,3vvv,,854.67,376.72,35,35,,,1,ellipse,3vvv,,854.67,376.72,35,35,,,,,,,,,,,,,,,,,,,
X,n1-1-3-1,E7,4,1,1,3,1,,,,8,4,3,3,,,-171.875,740,-763.888888888889,0,816.28,283.17,236.111111111111,1000,,,D3,,node,,1,1,symbol,OpenCircle,816.28,283.17,12,12,0 816.28 283.17 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,816.28,283.17,20.4,20.4,0.55,ellipse,4vvv,,816.28,283.17,12,12,,,1,ellipse,4vvv,,816.28,283.17,12,12,,,,,,,,,,,,,,,,,,,
X,n1-1-3-2,E8,4,1,1,3,2,,,,8,4,3,3,,,-170.625,740,-758.333333333333,0,831.96,279.33,241.666666666667,1000,,,D3,,node,,1,1,symbol,OpenCircle,831.96,279.33,12,12,0 831.96 279.33 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,831.96,279.33,20.4,20.4,0.55,ellipse,4vvv,,831.96,279.33,12,12,,,1,ellipse,4vvv,,831.96,279.33,12,12,,,,,,,,,,,,,,,,,,,
X,n1-1-3-3,E9,4,1,1,3,3,,,,8,4,3,3,,,-169.375,740,-752.777777777778,0,847.72,275.84,247.222222222222,1000,,,D3,,node,,1,1,symbol,OpenCircle,847.72,275.84,12,12,0 847.72 275.84 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,847.72,275.84,20.4,20.4,0.55,ellipse,4vvv,,847.72,275.84,12,12,,,1,ellipse,4vvv,,847.72,275.84,12,12,,,,,,,,,,,,,,,,,,,
X,n1-2,C2,2,1,2,,,,,,8,4,,,,,-163.125,500,-725,0,950.99,502.41,275,1000,,,B1,,node,,1,1,symbol,OpenCircle,950.99,502.41,60,60,1 950.99 502.41 0 0 0 0 VCThingLabel 20 ,0.1,0,2vvv,,950.99,502.41,102,102,0.55,ellipse,2vvv,,950.99,502.41,60,60,,,1,ellipse,2vvv,,950.99,502.41,60,60,,,,,,,,,,,,,,,,,,,
X,n1-2-1,D4,3,1,2,1,,,,,8,4,3,,,,-166.875,640,-741.666666666667,0,895.75,368.55,258.333333333333,1000,,,C2,,node,,1,1,symbol,OpenCircle,895.75,368.55,35,35,1 895.75 368.55 0 0 0 0 VCThingLabel 10 ,0.1,0,3vvv,,895.75,368.55,59.5,59.5,0.55,ellipse,3vvv,,895.75,368.55,35,35,,,1,ellipse,3vvv,,895.75,368.55,35,35,,,,,,,,,,,,,,,,,,,
X,n1-2-1-1,E10,4,1,2,1,1,,,,8,4,3,3,,,-168.125,740,-747.222222222222,0,863.56,272.69,252.777777777778,1000,,,D4,,node,,1,1,symbol,OpenCircle,863.56,272.69,12,12,0 863.56 272.69 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,863.56,272.69,20.4,20.4,0.55,ellipse,4vvv,,863.56,272.69,12,12,,,1,ellipse,4vvv,,863.56,272.69,12,12,,,,,,,,,,,,,,,,,,,
X,n1-2-1-2,E11,4,1,2,1,2,,,,8,4,3,3,,,-166.875,740,-741.666666666667,0,879.46,269.88,258.333333333333,1000,,,D4,,node,,1,1,symbol,OpenCircle,879.46,269.88,12,12,0 879.46 269.88 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,879.46,269.88,20.4,20.4,0.55,ellipse,4vvv,,879.46,269.88,12,12,,,1,ellipse,4vvv,,879.46,269.88,12,12,,,,,,,,,,,,,,,,,,,
X,n1-2-1-3,E12,4,1,2,1,3,,,,8,4,3,3,,,-165.625,740,-736.111111111111,0,895.41,267.43,263.888888888889,1000,,,D4,,node,,1,1,symbol,OpenCircle,895.41,267.43,12,12,0 895.41 267.43 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,895.41,267.43,20.4,20.4,0.55,ellipse,4vvv,,895.41,267.43,12,12,,,1,ellipse,4vvv,,895.41,267.43,12,12,,,,,,,,,,,,,,,,,,,
X,n1-2-2,D5,3,1,2,2,,,,,8,4,3,,,,-163.125,640,-725,0,937.27,363.08,275,1000,,,C2,,node,,1,1,symbol,OpenCircle,937.27,363.08,35,35,1 937.27 363.08 0 0 0 0 VCThingLabel 10 ,0.1,0,3vvv,,937.27,363.08,59.5,59.5,0.55,ellipse,3vvv,,937.27,363.08,35,35,,,1,ellipse,3vvv,,937.27,363.08,35,35,,,,,,,,,,,,,,,,,,,
X,n1-2-2-1,E13,4,1,2,2,1,,,,8,4,3,3,,,-164.375,740,-730.555555555556,0,911.42,265.32,269.444444444444,1000,,,D5,,node,,1,1,symbol,OpenCircle,911.42,265.32,12,12,0 911.42 265.32 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,911.42,265.32,20.4,20.4,0.55,ellipse,4vvv,,911.42,265.32,12,12,,,1,ellipse,4vvv,,911.42,265.32,12,12,,,,,,,,,,,,,,,,,,,
X,n1-2-2-2,E14,4,1,2,2,2,,,,8,4,3,3,,,-163.125,740,-725,0,927.47,263.56,275,1000,,,D5,,node,,1,1,symbol,OpenCircle,927.47,263.56,12,12,0 927.47 263.56 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,927.47,263.56,20.4,20.4,0.55,ellipse,4vvv,,927.47,263.56,12,12,,,1,ellipse,4vvv,,927.47,263.56,12,12,,,,,,,,,,,,,,,,,,,
X,n1-2-2-3,E15,4,1,2,2,3,,,,8,4,3,3,,,-161.875,740,-719.444444444444,0,943.55,262.16,280.555555555556,1000,,,D5,,node,,1,1,symbol,OpenCircle,943.55,262.16,12,12,0 943.55 262.16 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,943.55,262.16,20.4,20.4,0.55,ellipse,4vvv,,943.55,262.16,12,12,,,1,ellipse,4vvv,,943.55,262.16,12,12,,,,,,,,,,,,,,,,,,,
X,n1-2-3,D6,3,1,2,3,,,,,8,4,3,,,,-159.375,640,-708.333333333333,0,979.06,360.34,291.666666666667,1000,,,C2,,node,,1,1,symbol,OpenCircle,979.06,360.34,35,35,1 979.06 360.34 0 0 0 0 VCThingLabel 10 ,0.1,0,3vvv,,979.06,360.34,59.5,59.5,0.55,ellipse,3vvv,,979.06,360.34,35,35,,,1,ellipse,3vvv,,979.06,360.34,35,35,,,,,,,,,,,,,,,,,,,
X,n1-2-3-1,E16,4,1,2,3,1,,,,8,4,3,3,,,-160.625,740,-713.888888888889,0,959.66,261.1,286.111111111111,1000,,,D6,,node,,1,1,symbol,OpenCircle,959.66,261.1,12,12,0 959.66 261.1 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,959.66,261.1,20.4,20.4,0.55,ellipse,4vvv,,959.66,261.1,12,12,,,1,ellipse,4vvv,,959.66,261.1,12,12,,,,,,,,,,,,,,,,,,,
X,n1-2-3-2,E17,4,1,2,3,2,,,,8,4,3,3,,,-159.375,740,-708.333333333333,0,975.79,260.4,291.666666666667,1000,,,D6,,node,,1,1,symbol,OpenCircle,975.79,260.4,12,12,0 975.79 260.4 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,975.79,260.4,20.4,20.4,0.55,ellipse,4vvv,,975.79,260.4,12,12,,,1,ellipse,4vvv,,975.79,260.4,12,12,,,,,,,,,,,,,,,,,,,
X,n1-2-3-3,E18,4,1,2,3,3,,,,8,4,3,3,,,-158.125,740,-702.777777777778,0,991.93,260.04,297.222222222222,1000,,,D6,,node,,1,1,symbol,OpenCircle,991.93,260.04,12,12,0 991.93 260.04 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,991.93,260.04,20.4,20.4,0.55,ellipse,4vvv,,991.93,260.04,12,12,,,1,ellipse,4vvv,,991.93,260.04,12,12,,,,,,,,,,,,,,,,,,,
X,n1-3,C3,2,1,3,,,,,,8,4,,,,,-151.875,500,-675,0,1049.01,502.41,325,1000,,,B1,,node,,1,1,symbol,OpenCircle,1049.01,502.41,60,60,1 1049.01 502.41 0 0 0 0 VCThingLabel 20 ,0.1,0,2vvv,,1049.01,502.41,102,102,0.55,ellipse,2vvv,,1049.01,502.41,60,60,,,1,ellipse,2vvv,,1049.01,502.41,60,60,,,,,,,,,,,,,,,,,,,
X,n1-3-1,D7,3,1,3,1,,,,,8,4,3,,,,-155.625,640,-691.666666666667,0,1020.94,360.34,308.333333333333,1000,,,C3,,node,,1,1,symbol,OpenCircle,1020.94,360.34,35,35,1 1020.94 360.34 0 0 0 0 VCThingLabel 10 ,0.1,0,3vvv,,1020.94,360.34,59.5,59.5,0.55,ellipse,3vvv,,1020.94,360.34,35,35,,,1,ellipse,3vvv,,1020.94,360.34,35,35,,,,,,,,,,,,,,,,,,,
X,n1-3-1-1,E19,4,1,3,1,1,,,,8,4,3,3,,,-156.875,740,-697.222222222222,0,1008.07,260.04,302.777777777778,1000,,,D7,,node,,1,1,symbol,OpenCircle,1008.07,260.04,12,12,0 1008.07 260.04 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1008.07,260.04,20.4,20.4,0.55,ellipse,4vvv,,1008.07,260.04,12,12,,,1,ellipse,4vvv,,1008.07,260.04,12,12,,,,,,,,,,,,,,,,,,,
X,n1-3-1-2,E20,4,1,3,1,2,,,,8,4,3,3,,,-155.625,740,-691.666666666667,0,1024.21,260.4,308.333333333333,1000,,,D7,,node,,1,1,symbol,OpenCircle,1024.21,260.4,12,12,0 1024.21 260.4 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1024.21,260.4,20.4,20.4,0.55,ellipse,4vvv,,1024.21,260.4,12,12,,,1,ellipse,4vvv,,1024.21,260.4,12,12,,,,,,,,,,,,,,,,,,,
X,n1-3-1-3,E21,4,1,3,1,3,,,,8,4,3,3,,,-154.375,740,-686.111111111111,0,1040.34,261.1,313.888888888889,1000,,,D7,,node,,1,1,symbol,OpenCircle,1040.34,261.1,12,12,0 1040.34 261.1 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1040.34,261.1,20.4,20.4,0.55,ellipse,4vvv,,1040.34,261.1,12,12,,,1,ellipse,4vvv,,1040.34,261.1,12,12,,,,,,,,,,,,,,,,,,,
X,n1-3-2,D8,3,1,3,2,,,,,8,4,3,,,,-151.875,640,-675,0,1062.73,363.08,325,1000,,,C3,,node,,1,1,symbol,OpenCircle,1062.73,363.08,35,35,1 1062.73 363.08 0 0 0 0 VCThingLabel 10 ,0.1,0,3vvv,,1062.73,363.08,59.5,59.5,0.55,ellipse,3vvv,,1062.73,363.08,35,35,,,1,ellipse,3vvv,,1062.73,363.08,35,35,,,,,,,,,,,,,,,,,,,
X,n1-3-2-1,E22,4,1,3,2,1,,,,8,4,3,3,,,-153.125,740,-680.555555555556,0,1056.45,262.16,319.444444444444,1000,,,D8,,node,,1,1,symbol,OpenCircle,1056.45,262.16,12,12,0 1056.45 262.16 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1056.45,262.16,20.4,20.4,0.55,ellipse,4vvv,,1056.45,262.16,12,12,,,1,ellipse,4vvv,,1056.45,262.16,12,12,,,,,,,,,,,,,,,,,,,
X,n1-3-2-2,E23,4,1,3,2,2,,,,8,4,3,3,,,-151.875,740,-675,0,1072.53,263.56,325,1000,,,D8,,node,,1,1,symbol,OpenCircle,1072.53,263.56,12,12,0 1072.53 263.56 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1072.53,263.56,20.4,20.4,0.55,ellipse,4vvv,,1072.53,263.56,12,12,,,1,ellipse,4vvv,,1072.53,263.56,12,12,,,,,,,,,,,,,,,,,,,
X,n1-3-2-3,E24,4,1,3,2,3,,,,8,4,3,3,,,-150.625,740,-669.444444444444,0,1088.58,265.32,330.555555555556,1000,,,D8,,node,,1,1,symbol,OpenCircle,1088.58,265.32,12,12,0 1088.58 265.32 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1088.58,265.32,20.4,20.4,0.55,ellipse,4vvv,,1088.58,265.32,12,12,,,1,ellipse,4vvv,,1088.58,265.32,12,12,,,,,,,,,,,,,,,,,,,
X,n1-3-3,D9,3,1,3,3,,,,,8,4,3,,,,-148.125,640,-658.333333333333,0,1104.25,368.55,341.666666666667,1000,,,C3,,node,,1,1,symbol,OpenCircle,1104.25,368.55,35,35,1 1104.25 368.55 0 0 0 0 VCThingLabel 10 ,0.1,0,3vvv,,1104.25,368.55,59.5,59.5,0.55,ellipse,3vvv,,1104.25,368.55,35,35,,,1,ellipse,3vvv,,1104.25,368.55,35,35,,,,,,,,,,,,,,,,,,,
X,n1-3-3-1,E25,4,1,3,3,1,,,,8,4,3,3,,,-149.375,740,-663.888888888889,0,1104.59,267.43,336.111111111111,1000,,,D9,,node,,1,1,symbol,OpenCircle,1104.59,267.43,12,12,0 1104.59 267.43 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1104.59,267.43,20.4,20.4,0.55,ellipse,4vvv,,1104.59,267.43,12,12,,,1,ellipse,4vvv,,1104.59,267.43,12,12,,,,,,,,,,,,,,,,,,,
X,n1-3-3-2,E26,4,1,3,3,2,,,,8,4,3,3,,,-148.125,740,-658.333333333333,0,1120.54,269.88,341.666666666667,1000,,,D9,,node,,1,1,symbol,OpenCircle,1120.54,269.88,12,12,0 1120.54 269.88 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1120.54,269.88,20.4,20.4,0.55,ellipse,4vvv,,1120.54,269.88,12,12,,,1,ellipse,4vvv,,1120.54,269.88,12,12,,,,,,,,,,,,,,,,,,,
X,n1-3-3-3,E27,4,1,3,3,3,,,,8,4,3,3,,,-146.875,740,-652.777777777778,0,1136.44,272.69,347.222222222222,1000,,,D9,,node,,1,1,symbol,OpenCircle,1136.44,272.69,12,12,0 1136.44 272.69 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1136.44,272.69,20.4,20.4,0.55,ellipse,4vvv,,1136.44,272.69,12,12,,,1,ellipse,4vvv,,1136.44,272.69,12,12,,,,,,,,,,,,,,,,,,,
X,n1-4,C4,2,1,4,,,,,,8,4,,,,,-140.625,500,-625,0,1145.14,521.53,375,1000,,,B1,,node,,1,1,symbol,OpenCircle,1145.14,521.53,60,60,1 1145.14 521.53 0 0 0 0 VCThingLabel 20 ,0.1,0,2vvv,,1145.14,521.53,102,102,0.55,ellipse,2vvv,,1145.14,521.53,60,60,,,1,ellipse,2vvv,,1145.14,521.53,60,60,,,,,,,,,,,,,,,,,,,
X,n1-4-1,D10,3,1,4,1,,,,,8,4,3,,,,-144.375,640,-641.666666666667,0,1145.33,376.72,358.333333333333,1000,,,C4,,node,,1,1,symbol,OpenCircle,1145.33,376.72,35,35,1 1145.33 376.72 0 0 0 0 VCThingLabel 10 ,0.1,0,3vvv,,1145.33,376.72,59.5,59.5,0.55,ellipse,3vvv,,1145.33,376.72,35,35,,,1,ellipse,3vvv,,1145.33,376.72,35,35,,,,,,,,,,,,,,,,,,,
X,n1-4-1-1,E28,4,1,4,1,1,,,,8,4,3,3,,,-145.625,740,-647.222222222222,0,1152.28,275.84,352.777777777778,1000,,,D10,,node,,1,1,symbol,OpenCircle,1152.28,275.84,12,12,0 1152.28 275.84 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1152.28,275.84,20.4,20.4,0.55,ellipse,4vvv,,1152.28,275.84,12,12,,,1,ellipse,4vvv,,1152.28,275.84,12,12,,,,,,,,,,,,,,,,,,,
X,n1-4-1-2,E29,4,1,4,1,2,,,,8,4,3,3,,,-144.375,740,-641.666666666667,0,1168.04,279.33,358.333333333333,1000,,,D10,,node,,1,1,symbol,OpenCircle,1168.04,279.33,12,12,0 1168.04 279.33 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1168.04,279.33,20.4,20.4,0.55,ellipse,4vvv,,1168.04,279.33,12,12,,,1,ellipse,4vvv,,1168.04,279.33,12,12,,,,,,,,,,,,,,,,,,,
X,n1-4-1-3,E30,4,1,4,1,3,,,,8,4,3,3,,,-143.125,740,-636.111111111111,0,1183.72,283.17,363.888888888889,1000,,,D10,,node,,1,1,symbol,OpenCircle,1183.72,283.17,12,12,0 1183.72 283.17 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1183.72,283.17,20.4,20.4,0.55,ellipse,4vvv,,1183.72,283.17,12,12,,,1,ellipse,4vvv,,1183.72,283.17,12,12,,,,,,,,,,,,,,,,,,,
X,n1-4-2,D11,3,1,4,2,,,,,8,4,3,,,,-140.625,640,-625,0,1185.78,387.56,375,1000,,,C4,,node,,1,1,symbol,OpenCircle,1185.78,387.56,35,35,1 1185.78 387.56 0 0 0 0 VCThingLabel 10 ,0.1,0,3vvv,,1185.78,387.56,59.5,59.5,0.55,ellipse,3vvv,,1185.78,387.56,35,35,,,1,ellipse,3vvv,,1185.78,387.56,35,35,,,,,,,,,,,,,,,,,,,
X,n1-4-2-1,E31,4,1,4,2,1,,,,8,4,3,3,,,-141.875,740,-630.555555555556,0,1199.31,287.35,369.444444444444,1000,,,D11,,node,,1,1,symbol,OpenCircle,1199.31,287.35,12,12,0 1199.31 287.35 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1199.31,287.35,20.4,20.4,0.55,ellipse,4vvv,,1199.31,287.35,12,12,,,1,ellipse,4vvv,,1199.31,287.35,12,12,,,,,,,,,,,,,,,,,,,
X,n1-4-2-2,E32,4,1,4,2,2,,,,8,4,3,3,,,-140.625,740,-625,0,1214.81,291.86,375,1000,,,D11,,node,,1,1,symbol,OpenCircle,1214.81,291.86,12,12,0 1214.81 291.86 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1214.81,291.86,20.4,20.4,0.55,ellipse,4vvv,,1214.81,291.86,12,12,,,1,ellipse,4vvv,,1214.81,291.86,12,12,,,,,,,,,,,,,,,,,,,
X,n1-4-2-3,E33,4,1,4,2,3,,,,8,4,3,3,,,-139.375,740,-619.444444444444,0,1230.21,296.72,380.555555555556,1000,,,D11,,node,,1,1,symbol,OpenCircle,1230.21,296.72,12,12,0 1230.21 296.72 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1230.21,296.72,20.4,20.4,0.55,ellipse,4vvv,,1230.21,296.72,12,12,,,1,ellipse,4vvv,,1230.21,296.72,12,12,,,,,,,,,,,,,,,,,,,
X,n1-4-3,D12,3,1,4,3,,,,,8,4,3,,,,-136.875,640,-608.333333333333,0,1225.44,401.02,391.666666666667,1000,,,C4,,node,,1,1,symbol,OpenCircle,1225.44,401.02,35,35,1 1225.44 401.02 0 0 0 0 VCThingLabel 10 ,0.1,0,3vvv,,1225.44,401.02,59.5,59.5,0.55,ellipse,3vvv,,1225.44,401.02,35,35,,,1,ellipse,3vvv,,1225.44,401.02,35,35,,,,,,,,,,,,,,,,,,,
X,n1-4-3-1,E34,4,1,4,3,1,,,,8,4,3,3,,,-138.125,740,-613.888888888889,0,1245.49,301.91,386.111111111111,1000,,,D12,,node,,1,1,symbol,OpenCircle,1245.49,301.91,12,12,0 1245.49 301.91 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1245.49,301.91,20.4,20.4,0.55,ellipse,4vvv,,1245.49,301.91,12,12,,,1,ellipse,4vvv,,1245.49,301.91,12,12,,,,,,,,,,,,,,,,,,,
X,n1-4-3-2,E35,4,1,4,3,2,,,,8,4,3,3,,,-136.875,740,-608.333333333333,0,1260.67,307.43,391.666666666667,1000,,,D12,,node,,1,1,symbol,OpenCircle,1260.67,307.43,12,12,0 1260.67 307.43 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1260.67,307.43,20.4,20.4,0.55,ellipse,4vvv,,1260.67,307.43,12,12,,,1,ellipse,4vvv,,1260.67,307.43,12,12,,,,,,,,,,,,,,,,,,,
X,n1-4-3-3,E36,4,1,4,3,3,,,,8,4,3,3,,,-135.625,740,-602.777777777778,0,1275.71,313.28,397.222222222222,1000,,,D12,,node,,1,1,symbol,OpenCircle,1275.71,313.28,12,12,0 1275.71 313.28 0 0 0 0 VCThingLabel  ,0.1,0,4vvv,,1275.71,313.28,20.4,20.4,0.55,ellipse,4vvv,,1275.71,313.28,12,12,,,1,ellipse,4vvv,,1275.71,313.28,12,12,,,,,,,,,,,,,,,,,,,
X,n2,B2,1,2,,,,,,,8,,,,,,-112.5,260,-500,0,1183.85,816.15,500,1000,,,A,,node,,1,1,symbol,OpenCircle,1183.85,816.15,95,95,1 1183.85 816.15 0 0 0 0 VCThingLabel 36 ,0.1,0,1vvv,,1183.85,816.15,161.5,161.5,0.55,ellipse,1vvv,,1183.85,816.15,95,95,,,1,ellipse,1vvv,,1183.85,816.15,95,95,,,,,,,,,,,,,,,,,,,
X,n2-1,C5,2,2,1,,,,,,8,4,,,,,-129.375,500,-575,0,1235.7,559.04,425,1000,,,E36,,node,,1,1,symbol,OpenCircle,1235.7,559.04,60,60,1 1235.7 559.04 0 0 0 0 VCThingLabel 20 ,0.1,0,2vvv,,1235.7,559.04,102,102,0.55,ellipse,2vvv,,1235.7,559.04,60,60,,,1,ellipse,2vvv,,1235.7,559.04,60,60,,,,,,,,,,,,,,,,,,,
